Loaded plugins: fastestmirror, refresh-packagekit, security
Installed Packages
ConsoleKit.x86_64                    0.4.1-3.el6               @base/$releasever
ConsoleKit-libs.x86_64               0.4.1-3.el6               @base/$releasever
ConsoleKit-x11.x86_64                0.4.1-3.el6               @base/$releasever
DeviceKit-power.x86_64               014-3.el6                 @base/$releasever
GConf2.x86_64                        2.28.0-6.el6              @base/$releasever
GConf2-gtk.x86_64                    2.28.0-6.el6              @base/$releasever
MAKEDEV.x86_64                       3.24-6.el6                @base/$releasever
ModemManager.x86_64                  0.4.0-5.git20100628.el6   @base/$releasever
NetworkManager.x86_64                1:0.8.1-66.el6            @base/$releasever
NetworkManager-glib.x86_64           1:0.8.1-66.el6            @base/$releasever
NetworkManager-gnome.x86_64          1:0.8.1-66.el6            @base/$releasever
ORBit2.x86_64                        2.14.17-3.2.el6_3         @base/$releasever
PackageKit.x86_64                    0.5.8-21.el6              @base/$releasever
PackageKit-device-rebind.x86_64      0.5.8-21.el6              @base/$releasever
PackageKit-glib.x86_64               0.5.8-21.el6              @base/$releasever
PackageKit-gtk-module.x86_64         0.5.8-21.el6              @base/$releasever
PackageKit-yum.x86_64                0.5.8-21.el6              @base/$releasever
PackageKit-yum-plugin.x86_64         0.5.8-21.el6              @base/$releasever
acl.x86_64                           2.2.49-6.el6              @base/$releasever
acpid.x86_64                         1.0.10-2.1.el6            @base/$releasever
aic94xx-firmware.noarch              30-2.el6                  @base/$releasever
alsa-lib.x86_64                      1.0.22-3.el6              @base/$releasever
alsa-plugins-pulseaudio.x86_64       1.0.21-3.el6              @base/$releasever
alsa-utils.x86_64                    1.0.22-5.el6              @base/$releasever
anaconda.x86_64                      13.21.215-1.el6.centos    @base/$releasever
anaconda-yum-plugins.noarch          1:1.0-5.1.el6             @base/$releasever
apr.x86_64                           1.3.9-5.el6_2             @base            
apr-util.x86_64                      1.3.9-3.el6_0.1           @base            
apr-util-ldap.x86_64                 1.3.9-3.el6_0.1           @base            
at.x86_64                            3.1.10-43.el6_2.1         @base/$releasever
at-spi.x86_64                        1.28.1-2.el6.centos       @base/$releasever
at-spi-python.x86_64                 1.28.1-2.el6.centos       @base/$releasever
atk.x86_64                           1.30.0-1.el6              @base/$releasever
atmel-firmware.noarch                1.3-7.el6                 @base/$releasever
attr.x86_64                          2.4.44-7.el6              @base/$releasever
audit.x86_64                         2.2-2.el6                 @base/$releasever
audit-libs.x86_64                    2.2-2.el6                 @base/$releasever
authconfig.x86_64                    6.1.12-13.el6             @base/$releasever
authconfig-gtk.x86_64                6.1.12-13.el6             @base/$releasever
avahi-autoipd.x86_64                 0.6.25-12.el6             @base/$releasever
avahi-glib.x86_64                    0.6.25-12.el6             @base/$releasever
avahi-libs.x86_64                    0.6.25-12.el6             @base/$releasever
avahi-ui.x86_64                      0.6.25-12.el6             @base/$releasever
b43-fwcutter.x86_64                  012-2.2.el6               @base/$releasever
b43-openfwwf.noarch                  5.2-4.el6                 @base/$releasever
basesystem.noarch                    10.0-4.el6                @base/$releasever
bash.x86_64                          4.1.2-15.el6_4            @base/$releasever
bc.x86_64                            1.06.95-1.el6             @base/$releasever
bfa-firmware.noarch                  3.2.21.1-2.el6            @base/$releasever
bind-libs.x86_64                     32:9.8.2-0.17.rc1.el6_4.6 @base/$releasever
bind-utils.x86_64                    32:9.8.2-0.17.rc1.el6_4.6 @base/$releasever
binutils.x86_64                      2.20.51.0.2-5.36.el6      @base/$releasever
biosdevname.x86_64                   0.5.0-2.el6               @base/$releasever
blktrace.x86_64                      1.0.1-6.el6               @base/$releasever
bluez.x86_64                         4.66-1.el6                @base/$releasever
bluez-libs.x86_64                    4.66-1.el6                @base/$releasever
bridge-utils.x86_64                  1.2-10.el6                @base/$releasever
btparser.x86_64                      0.17-2.el6                @base/$releasever
busybox.x86_64                       1:1.15.1-20.el6           @base/$releasever
bzip2.x86_64                         1.0.5-7.el6_0             @base/$releasever
bzip2-libs.x86_64                    1.0.5-7.el6_0             @base/$releasever
ca-certificates.noarch               2013.1.94-65.0.el6        @base/$releasever
cairo.x86_64                         1.8.8-3.1.el6             @base/$releasever
cdparanoia-libs.x86_64               10.2-5.1.el6              @base/$releasever
centos-indexhtml.noarch              6-1.el6.centos            @base/$releasever
centos-release.x86_64                6-5.el6.centos.11.1       @base/$releasever
checkpolicy.x86_64                   2.0.22-1.el6              @base/$releasever
cheese.x86_64                        2.28.1-8.el6              @base/$releasever
chkconfig.x86_64                     1.3.49.3-2.el6_4.1        @base/$releasever
comps-extras.noarch                  17.8-1.el6                @base/$releasever
control-center.x86_64                1:2.28.1-39.el6           @base/$releasever
control-center-extra.x86_64          1:2.28.1-39.el6           @base/$releasever
control-center-filesystem.x86_64     1:2.28.1-39.el6           @base/$releasever
coreutils.x86_64                     8.4-31.el6                @base/$releasever
coreutils-libs.x86_64                8.4-31.el6                @base/$releasever
cpio.x86_64                          2.10-11.el6_3             @base/$releasever
cpuspeed.x86_64                      1:1.5-20.el6_4            @base/$releasever
cracklib.x86_64                      2.8.16-4.el6              @base/$releasever
cracklib-dicts.x86_64                2.8.16-4.el6              @base/$releasever
cracklib-python.x86_64               2.8.16-4.el6              @base/$releasever
crda.x86_64                          1.1.1_2010.11.22-1.el6    @base/$releasever
createrepo.noarch                    0.9.9-18.el6              @base/$releasever
cronie.x86_64                        1.4.4-12.el6              @base/$releasever
cronie-anacron.x86_64                1.4.4-12.el6              @base/$releasever
crontabs.noarch                      1.10-33.el6               @base/$releasever
cryptsetup-luks.x86_64               1.2.0-7.el6               @base/$releasever
cryptsetup-luks-libs.x86_64          1.2.0-7.el6               @base/$releasever
ctapi-common.x86_64                  1.1-6.1.el6               @base/$releasever
cups-libs.x86_64                     1:1.4.2-50.el6_4.5        @base/$releasever
curl.x86_64                          7.19.7-37.el6_4           @base/$releasever
cyrus-sasl.x86_64                    2.1.23-13.el6_3.1         @base/$releasever
cyrus-sasl-lib.x86_64                2.1.23-13.el6_3.1         @base/$releasever
cyrus-sasl-plain.x86_64              2.1.23-13.el6_3.1         @base/$releasever
